id,Woi,CAPEX,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
53,15.21893868,2063.481291,4,without,with,with,CAHM,13.53451279,3,,,BallMill,31,0.706139168,7,,,
54,9.250758213,569.9640613,1,with,with,without,SAG,12.27641874,1,without,,HPGR_Fines,31,0.69092156,,,,
55,11.38219767,1597.452892,5,with,with,without,SAG,11.29704399,2,without,,Mono_Roll,30,0.724904621,,,,
56,16.38282713,123.9582749,10,without,without,with,HPGR,,5,,,Mono_Roll,31,0.773875162,8,1,3.655725896,0.84156362
57,17.64120791,2324.728855,9,without,without,without,SAG,14,4,with,0,BallMill,29,0.778889614,,,,
58,8.874182409,652.0604977,8,without,without,without,CAHM,11.87861308,7,,,HPGR_Fines,33,0.739347563,,,,
59,18.29061484,100.666258,9,without,with,without,CAHM,13.60144721,8,,,BallMill,36,0.742655682,,,,
60,14.80581459,1415.261647,0,with,without,without,SAG,13.39884515,5,without,,BallMill,33,0.753819585,,,,
61,9.445732365,700.5944772,0,with,without,without,HPGR,,5,,,HPGR_Fines,29,0.753819585,,6,3.41179488,3.047578524
62,17.36912804,1490.758996,7,without,without,without,HPGR,,4,,,BallMill,29,0.709920604,,7,4,2.4
63,8.478845434,658.1857163,8,without,without,without,CAHM,11.29704399,1,,,HPGR_Fines,33,0.707508048,,,,
64,13.72126419,1033.489279,0,without,with,without,HPGR,,7,,,Mono_Roll,28,0.700477958,,7,2.395671059,2.191203174
65,21.38401049,2646.930571,10,without,without,with,HPGR,,1,,,BallMill,29,0.737723744,5,7,4,2.4
66,10.81238554,706.0604944,8,without,without,with,HPGR,,7,,,HPGR_Fines,31,0.688563907,8,4,2.936630622,2.155681715
67,14.83476038,2734.3673,4,with,with,without,SAG,17.75749466,6,with,5,BallMill,30,0.750888438,,,,
68,11.6439936,89.79046574,9,without,without,without,SAG,14,4,with,9,HPGR_Fines,27,0.7,,,,
69,15.9571045,1572.968871,5,without,with,without,SAG,15.1888883,2,without,,Mono_Roll,30,0.724904621,,,,
70,20.85663221,1130.899646,0,with,without,with,HPGR,,9,,,BallMill,32,0.755606364,6,0,2.850628844,0.862332503
71,83.31049262,22614.06548,9,without,with,with,HPGR,,4,,,BallMill,32,0.700477958,3,2,4.89177343,1.06174361
72,296.3991633,34334.54152,4,with,without,with,HPGR,,5,,,Mono_Roll,37,0.696639362,1,1,2.850628844,0.84156362
73,12.57369192,1444.694296,0,with,with,without,SAG,12.27641874,6,without,,BallMill,28,0.753819585,,,,
74,14.33494443,1012.588986,7,without,without,without,CAHM,10.34422491,1,,,BallMill,33,0.71496347,,,,
75,14.50279449,3898.446999,4,with,without,without,HPGR,,5,,,BallMill,28,0.767087296,,7,2.543599841,3.19702265
76,12.22908174,80.04074331,9,with,without,without,SAG,14,4,with,0,BallMill,27,0.7,,,,
77,9.084954266,713.0055424,8,with,without,without,CAHM,10.65932457,7,,,HPGR_Fines,37,0.690778497,,,,
